feature_set,scenario,training_seed,classifier,metric,n_simulation_seeds,mean,sd,ci95_low,ci95_high
4,DNSAmplification,181081,mlp,pr_auc_benign,10,0.6903757739435152,0.004703700027550261,0.6870109496451096,0.6937405982419209
4,DNSAmplification,181081,mlp,pr_auc_ddos,10,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.1666666666666667
4,DNSAmplification,181081,rf,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,rf,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,rf,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,rf,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,rf,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,rf,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,rf,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,rf,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,rf,pr_auc_ddos,10,1.0,9.064933036736789e-17,0.9999999999999999,1.0
4,DNSAmplification,181081,xgboost,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,xgboost,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,xgboost,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,xgboost,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,xgboost,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,xgboost,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,xgboost,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,xgboost,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,181081,xgboost,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,hybrid,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,hybrid,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,hybrid,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,hybrid,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,hybrid,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,hybrid,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,hybrid,roc_auc,10,1.0,5.233641528945917e-17,1.0,1.0
4,DNSAmplification,206369,hybrid,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,hybrid,pr_auc_ddos,10,1.0,5.233641528945917e-17,1.0,1.0
4,DNSAmplification,206369,mlp,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,mlp,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,mlp,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,mlp,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,mlp,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,mlp,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,mlp,roc_auc,10,1.0,5.233641528945917e-17,1.0,1.0
4,DNSAmplification,206369,mlp,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,mlp,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,rf,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,rf,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,rf,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,rf,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,rf,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,rf,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,rf,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,rf,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,rf,pr_auc_ddos,10,1.0,7.401486830834377e-17,1.0,1.0
4,DNSAmplification,206369,xgboost,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,xgboost,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,xgboost,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,xgboost,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,xgboost,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,xgboost,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,xgboost,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,xgboost,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,206369,xgboost,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,hybrid,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,hybrid,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,hybrid,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,hybrid,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,hybrid,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,hybrid,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,hybrid,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,hybrid,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,hybrid,pr_auc_ddos,10,1.0,7.401486830834377e-17,1.0,1.0
4,DNSAmplification,231701,mlp,accuracy,10,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
4,DNSAmplification,231701,mlp,precision,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,231701,mlp,recall,10,0.0,0.0,0.0,0.0
4,DNSAmplification,231701,mlp,f1,10,0.0,0.0,0.0,0.0
4,DNSAmplification,231701,mlp,balanced_accuracy,10,0.5,0.0,0.5,0.5
4,DNSAmplification,231701,mlp,mcc,0,not estimable,not estimable,not estimable,not estimable
4,DNSAmplification,231701,mlp,roc_auc,10,0.0,0.0,0.0,0.0
4,DNSAmplification,231701,mlp,pr_auc_benign,10,0.6904699962028455,0.004675493247046002,0.6871253498196693,0.6938146425860218
4,DNSAmplification,231701,mlp,pr_auc_ddos,10,0.16666666666666669,2.925694557147251e-17,0.16666666666666666,0.1666666666666667
4,DNSAmplification,231701,rf,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,rf,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,rf,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,rf,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,rf,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,rf,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,rf,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,rf,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,rf,pr_auc_ddos,10,1.0,9.791246743253677e-17,0.9999999999999999,1.0
4,DNSAmplification,231701,xgboost,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,xgboost,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,xgboost,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,xgboost,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,xgboost,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,xgboost,mcc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,xgboost,roc_auc,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,xgboost,pr_auc_benign,10,1.0,0.0,1.0,1.0
4,DNSAmplification,231701,xgboost,pr_auc_ddos,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,hybrid,accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,hybrid,precision,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,hybrid,recall,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,hybrid,f1,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,hybrid,balanced_accuracy,10,1.0,0.0,1.0,1.0
4,DNSAmplification,257053,hybrid,mcc,10,1.0,0.0,1.0,1.0
