feature_set,model,n_seeds,fpr,mean_tpr,sd_tpr
8,xgboost,10,0.243,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.244,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.245,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.246,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.247,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.248,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.249,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.25,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.251,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.252,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.253,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.254,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.255,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.256,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.257,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.258,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.259,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.26,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.261,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.262,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.263,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.264,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.265,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.266,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.267,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.268,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.269,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.27,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.271,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.272,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.273,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.274,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.275,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.276,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.277,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.278,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.279,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.28,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.281,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.28200000000000003,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.28300000000000003,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.28400000000000003,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.28500000000000003,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.28600000000000003,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.28700000000000003,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.28800000000000003,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.289,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.29,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.291,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.292,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.293,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.294,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.295,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.296,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.297,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.298,0.9997660118758456,6.718145063873961e-05
8,xgboost,10,0.299,0.9997693486816935,6.487893961076801e-05
8,xgboost,10,0.3,0.9997777226698628,5.9100634796458075e-05
8,xgboost,10,0.301,0.9997860966580321,5.3322394139500966e-05
8,xgboost,10,0.302,0.9997944706462011,4.754424103192384e-05
8,xgboost,10,0.303,0.9998028446343703,4.176621180976461e-05
8,xgboost,10,0.304,0.9998112186225396,3.59883661434328e-05
8,xgboost,10,0.305,0.9998195926107091,3.0210809348923222e-05
8,xgboost,10,0.306,0.9998279665988783,2.443374634523451e-05
8,xgboost,10,0.307,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.308,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.309,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.31,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.311,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.312,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.313,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.314,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.315,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.316,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.317,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.318,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.319,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.32,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.321,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.322,0.9998303441982423,2.2793625644185514e-05
8,xgboost,10,0.323,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.324,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.325,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.326,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.327,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.328,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.329,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.33,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.331,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.332,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.333,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.334,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.335,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.336,0.9999268426818377,4.3809756794992715e-05
8,xgboost,10,0.337,0.9999281395591723,4.178559947412249e-05
8,xgboost,10,0.338,0.9999301401568115,3.8834042136154694e-05
8,xgboost,10,0.339,0.9999321407544508,3.613455606455233e-05
8,xgboost,10,0.34,0.9999341413520902,3.374768530522797e-05
8,xgboost,10,0.341,0.9999359006528522,3.196284709251272e-05
8,xgboost,10,0.342,0.9999359006528522,3.196284709251272e-05
8,xgboost,10,0.343,0.9999359006528522,3.196284709251272e-05
