comparison_type,stratum,metric,left,right,matched_seeds,mean_difference_left_minus_right,difference_ci95_low,difference_ci95_high,paired_t_p,status,p_holm,significant_after_holm_0.05
feature_set,xgboost,accuracy,6,8,10,0.0004203394148634798,0.0003599593034359544,0.00048071952629100525,7.386894287513502e-08,tested,1.706372580415619e-05,True
feature_set,xgboost,precision,6,8,10,0.00012792792221810734,-0.00040285207160788877,0.0006587079160441034,0.5988502322767095,tested,1.0,False
feature_set,xgboost,recall,6,8,10,0.0007167983433968739,0.00019890048294007867,0.0012346962038536692,0.012103230454423566,tested,1.0,False
feature_set,xgboost,f1,6,8,10,0.0004201739025625928,0.00036615961119160066,0.0004741881939335849,2.798796649388006e-08,tested,6.661136025543455e-06,True
feature_set,xgboost,roc_auc,6,8,10,-1.628974388268034e-07,-2.1159902884126362e-05,2.0834108006472754e-05,0.9863806715889673,tested,1.0,False
feature_set,xgboost,pr_auc_benign,6,8,10,1.2560392306926182e-05,-1.8086626994792094e-06,2.6929447313331574e-05,0.07938928716859638,tested,1.0,False
feature_set,xgboost,pr_auc_ddos,6,8,10,-7.941430333402445e-06,-3.124804538451094e-05,1.536518471770605e-05,0.4605801557989482,tested,1.0,False
feature_set,xgboost,balanced_accuracy,6,8,10,0.0004206083571267727,0.00035607916406526596,0.00048513755018827944,1.309139881800795e-07,tested,2.932473335233781e-05,True
feature_set,xgboost,mcc,6,8,10,0.0008451012775308686,0.000730332870664045,0.0009598696843976923,4.5254635082438755e-08,tested,1.0634839244373107e-05,True
model,4,accuracy,hybrid,mlp,10,0.057637043780523825,0.0518456293835474,0.06342845817750024,3.1888762911221016e-09,tested,8.291078356917464e-07,True
model,4,precision,hybrid,mlp,10,0.05488953806404453,0.04853733962501019,0.06124173650307887,1.1109822506670142e-08,tested,2.6663574016008343e-06,True
model,4,recall,hybrid,mlp,10,0.05941822662305015,0.05148782191048878,0.06734863133561153,3.8880148494616746e-08,tested,9.175715044729552e-06,True
model,4,f1,hybrid,mlp,10,0.05715685219978104,0.05127865750124021,0.06303504689832187,3.917397793285442e-09,tested,1.0028538350810732e-06,True
model,4,roc_auc,hybrid,mlp,10,0.023199455724185414,0.014210664280575895,0.032188247167794934,0.00024728803954868477,tested,0.044511847118763256,True
model,4,pr_auc_benign,hybrid,mlp,10,0.039444727506419586,0.015570601660653962,0.0633188533521852,0.00464318835847272,tested,0.6314736167522899,False
model,4,pr_auc_ddos,hybrid,mlp,10,0.017634468783851685,0.013122932420158879,0.022146005147544494,9.865048135915975e-06,tested,0.002061795060406439,True
model,4,balanced_accuracy,hybrid,mlp,10,0.057638707258362745,0.051862744151557574,0.06341467036516792,3.113506624923316e-09,tested,8.126252291049855e-07,True
model,4,mcc,hybrid,mlp,10,0.11528419755403144,0.10364174469253114,0.12692665041553172,3.334640645523311e-09,tested,8.603372865450142e-07,True
model,4,accuracy,hybrid,rf,10,0.0013647763323736406,0.0008622692775842472,0.001867283387163034,0.00016997377174756594,tested,0.03178509531679483,True
model,4,precision,hybrid,rf,10,0.00037983816597065846,0.00011976399940316493,0.000639912332538152,0.009172985790996324,tested,1.0,False
model,4,recall,hybrid,rf,10,0.002397034506140194,0.0014949248527867654,0.0032991441594936227,0.0001998179654066377,tested,0.0365666876694147,True
model,4,f1,hybrid,rf,10,0.001371439772556071,0.0008596976145506688,0.0018831819305614734,0.00018761674449737875,tested,0.03470909773201507,True
model,4,roc_auc,hybrid,rf,10,-0.0005500344696755643,-0.0008758660051530608,-0.00022420293419806776,0.004097853164293032,tested,0.5847248841574827,False
model,4,pr_auc_benign,hybrid,rf,10,-0.0005421792557549265,-0.0008820155601365462,-0.0002023429513733069,0.005667481686318859,tested,0.7424401009077705,False
model,4,pr_auc_ddos,hybrid,rf,10,-0.0006162043369908554,-0.0008655205219261499,-0.00036688815205556096,0.0003381059342108759,tested,0.060182856289535916,False
model,4,balanced_accuracy,hybrid,rf,10,0.0013657895037443412,0.0008557887774199916,0.0018757902300686909,0.00018861653183567352,tested,0.03470909773201507,True
model,4,mcc,hybrid,rf,10,0.0027641774632690685,0.0017481767577570328,0.003780178168781104,0.00016780159372878307,tested,0.03154669962101122,True
model,4,accuracy,hybrid,xgboost,10,7.830205443988269e-05,-0.00027186081660592396,0.00042846492548568937,0.6251155954109836,tested,1.0,False
model,4,precision,hybrid,xgboost,10,-0.000996439117031045,-0.001162085519960769,-0.000830792714101321,2.6206043223889726e-07,tested,5.817741595703519e-05,True
model,4,recall,hybrid,xgboost,10,0.001221731264133863,0.0004905069054634116,0.0019529556228043143,0.0043515762784923084,tested,0.6092206789889232,False
model,4,f1,hybrid,xgboost,10,9.334323228673557e-05,-0.00025355460181585834,0.00044024106638932943,0.5577714530874728,tested,1.0,False
model,4,roc_auc,hybrid,xgboost,10,-0.0007430252803876325,-0.0010948641816386252,-0.0003911863791366399,0.0010050592290356927,tested,0.1658347727908893,False
model,4,pr_auc_benign,hybrid,xgboost,10,-0.0007291668654239358,-0.0010898047557990394,-0.00036852897504883206,0.0013395880153282671,tested,0.2170132584831793,False
model,4,pr_auc_ddos,hybrid,xgboost,10,-0.0007796388960535583,-0.0010571491369817457,-0.0005021286551253709,0.00013204365746804174,tested,0.025484425891332055,True
model,4,balanced_accuracy,hybrid,xgboost,10,7.385199847838031e-05,-0.00027012072213437687,0.0004178247190911375,0.6387908546565122,tested,1.0,False
model,4,mcc,hybrid,xgboost,10,0.00019584206683115335,-0.0005204086496207327,0.0009120927832830394,0.5515542493294469,tested,1.0,False
model,4,accuracy,mlp,rf,10,-0.056272267448150184,-0.06207253015884814,-0.05047200473745223,3.996221177389122e-09,tested,1.0110439578794479e-06,True
model,4,precision,mlp,rf,10,-0.054509699898073874,-0.06073516471578398,-0.048284235080363766,9.88883913605227e-09,tested,2.3832102317885973e-06,True
model,4,recall,mlp,rf,10,-0.05702119211690996,-0.0650039050258474,-0.049038479207972524,5.9016312230858046e-08,tested,1.3691784437559066e-05,True
model,4,f1,mlp,rf,10,-0.05578541242722497,-0.06165227957849558,-0.04991854527595436,4.774233375739128e-09,tested,1.188784110559043e-06,True
model,4,roc_auc,mlp,rf,10,-0.023749490193860977,-0.03292781867550201,-0.014571161712219944,0.0002427068675279409,tested,0.0439299430225573,True
model,4,pr_auc_benign,mlp,rf,10,-0.039986906762174514,-0.06404052286876152,-0.01593329065558751,0.004480679430985654,tested,0.6183337614760203,False
model,4,pr_auc_ddos,mlp,rf,10,-0.018250673120842543,-0.022893185990045122,-0.013608160251639963,9.414608537486593e-06,tested,0.0019770677928721845,True
model,4,balanced_accuracy,mlp,rf,10,-0.0562729177546184,-0.062060566021589166,-0.05048526948764764,3.919556439014209e-09,tested,1.0028538350810732e-06,True
model,4,mcc,mlp,rf,10,-0.11252002009076238,-0.12418191565232715,-0.10085812452919761,4.1953119892737255e-09,tested,1.0530233093077051e-06,True
model,4,accuracy,mlp,xgboost,10,-0.05755874172608394,-0.06348215291677899,-0.05163533053538889,3.9402102795409375e-09,tested,1.0028538350810732e-06,True
model,4,precision,mlp,xgboost,10,-0.055885977181075575,-0.062237502685098665,-0.049534451677052484,9.47169969028953e-09,tested,2.292151325050066e-06,True
model,4,recall,mlp,xgboost,10,-0.058196495358916286,-0.0666599932521871,-0.049732997465645475,8.225087229114386e-08,tested,1.8835449754671943e-05,True
model,4,f1,mlp,xgboost,10,-0.057063508967494306,-0.063083920190936,-0.05104309774405261,4.910501361690536e-09,tested,1.217804337699253e-06,True
model,4,roc_auc,mlp,xgboost,10,-0.023942481004573045,-0.03315290206100906,-0.014732059948137036,0.00023468903251714994,tested,0.04271340391812129,True
model,4,pr_auc_benign,mlp,xgboost,10,-0.04017389437184352,-0.06425122422185946,-0.016096564521827585,0.004386034406243799,tested,0.609658782467888,False
model,4,pr_auc_ddos,mlp,xgboost,10,-0.018414107679905246,-0.023094554781829195,-0.013733660577981295,9.355060404882027e-06,tested,0.0019739177454301078,True
model,4,balanced_accuracy,mlp,xgboost,10,-0.05756485525988436,-0.06346534870436998,-0.051664361815398734,3.803734143519779e-09,tested,9.775596748845832e-07,True
