seed,left_feature_set,left_model,right_feature_set,right_model,matched_observations,left_error_right_correct,left_correct_right_error,discordant,mcnemar_exact_p,paired_error_difference_left_minus_right,error_difference_ci95_low,error_difference_ci95_high,status,mcnemar_p_holm,significant_after_holm_0.05
130363,8,mlp,8,xgboost,43504,343,444,787,0.00035826510981004113,-0.0023216255976461933,-0.0035853562825186713,-0.0010578949127737153,tested,0.08562536124459984,False
130363,8,rf,8,xgboost,43504,11,38,49,0.00014197068519905542,-0.0006206325855093785,-0.000935955578122094,-0.000305309592896663,tested,0.03591858335536102,True
155921,4,hybrid,4,mlp,43500,15,2805,2820,0.0,-0.06413793103448276,-0.06645351505160388,-0.06182234701736165,tested,0.0,True
155921,4,hybrid,4,rf,43500,31,77,108,1.1153098221083044e-05,-0.0010574712643678162,-0.0015256221593531003,-0.0005893203693825321,tested,0.003323623269882747,True
155921,4,hybrid,4,xgboost,43500,57,52,109,0.7018111820646825,0.00011494252873563218,-0.00035547544876313126,0.0005853605062343956,tested,1.0,False
155921,4,hybrid,6,hybrid,43500,96,56,152,0.0014762283005216952,0.0009195402298850574,0.0003640952477236202,0.0014749852120464948,tested,0.3159128563116428,False
155921,4,hybrid,6,mlp,43500,83,634,717,6.166399789779688e-106,-0.012666666666666666,-0.013867291443096593,-0.01146604189023674,tested,3.2681918885832343e-103,True
155921,4,hybrid,6,rf,43500,104,54,158,8.548342922070632e-05,0.0011494252873563218,0.0005831581614004815,0.0017156924133121623,tested,0.022396658455825055,True
155921,4,hybrid,6,xgboost,43500,101,53,154,0.0001358087434344528,0.001103448275862069,0.0005443894989406193,0.0016625070527835186,tested,0.03463122957578546,True
155921,4,hybrid,8,hybrid,43500,103,61,164,0.0012955826170011112,0.0009655172413793104,0.00038856477999381963,0.001542469702764801,tested,0.28373259312324334,False
155921,4,hybrid,8,mlp,43500,93,147,240,0.000594571599331122,-0.0012413793103448277,-0.0019393171860448868,-0.0005434414346447684,tested,0.13739011119535957,False
155921,4,hybrid,8,rf,43500,108,51,159,7.2316009758607525e-06,0.001310344827586207,0.0007423186634315087,0.0018783709917409054,tested,0.0021767118937340863,True
155921,4,hybrid,8,xgboost,43500,101,70,171,0.02150654246325032,0.0007126436781609196,0.00012347207594558957,0.0013018152803762496,tested,1.0,False
155921,4,mlp,4,rf,43500,2836,92,2928,0.0,0.06308045977011495,0.060715491628031866,0.06544542791219803,tested,0.0,True
155921,4,mlp,4,xgboost,43500,2862,67,2929,0.0,0.06425287356321839,0.06189026477815359,0.0666154823482832,tested,0.0,True
155921,4,mlp,6,hybrid,43500,2880,50,2930,0.0,0.06505747126436781,0.06269637787630496,0.06741856465243067,tested,0.0,True
155921,4,mlp,6,mlp,43500,2316,77,2393,0.0,0.05147126436781609,0.04932083396901691,0.053621694766615276,tested,0.0,True
155921,4,mlp,6,rf,43500,2897,57,2954,0.0,0.06528735632183907,0.06291652502573075,0.0676581876179474,tested,0.0,True
155921,4,mlp,6,xgboost,43500,2883,45,2928,0.0,0.06524137931034482,0.06288159430801346,0.06760116431267618,tested,0.0,True
155921,4,mlp,8,hybrid,43500,2885,53,2938,0.0,0.06510344827586206,0.06273902968875944,0.06746786686296469,tested,0.0,True
155921,4,mlp,8,mlp,43500,2808,72,2880,0.0,0.06289655172413793,0.06055184071226196,0.06524126273601388,tested,0.0,True
155921,4,mlp,8,rf,43500,2898,51,2949,0.0,0.06544827586206897,0.06307997859064969,0.06781657313348825,tested,0.0,True
155921,4,mlp,8,xgboost,43500,2883,62,2945,0.0,0.06485057471264367,0.06248253987274109,0.06721860955254626,tested,0.0,True
155921,4,rf,4,xgboost,43500,134,83,217,0.0006539230262037927,0.0011724137931034483,0.0005087596173377953,0.0018360679688691015,tested,0.14713268089585335,False
155921,4,rf,6,hybrid,43500,121,35,156,2.727201682665509e-12,0.0019770114942528737,0.0014145441546401282,0.0025394788338656193,tested,9.872470091249143e-10,True
155921,4,rf,6,mlp,43500,138,643,781,1.1258052451327043e-78,-0.01160919540229885,-0.012863667887043552,-0.010354722917554147,tested,5.887961432044044e-76,True
155921,4,rf,6,rf,43500,112,16,128,6.379225013648829e-19,0.002206896551724138,0.0016975456524271398,0.002716247451021136,tested,2.640999155650615e-16,True
155921,4,rf,6,xgboost,43500,132,38,170,2.309659346625795e-13,0.002160919540229885,0.0015737863234822117,0.0027480527569775583,tested,8.661222549846732e-11,True
155921,4,rf,8,hybrid,43500,121,33,154,5.251232042625476e-13,0.0020229885057471263,0.0014641568481122938,0.002581820163381959,tested,1.948207087814052e-10,True
155921,4,rf,8,mlp,43500,132,140,272,0.6713251353712297,-0.0001839080459770115,-0.0009270214307865838,0.0005592053388325609,tested,1.0,False
155921,4,rf,8,rf,43500,118,15,133,5.09476472849151e-21,0.002367816091954023,0.0018486586622960812,0.0028869735216119647,tested,2.1703697743373833e-18,True
155921,4,rf,8,xgboost,43500,119,42,161,1.0113525726969985e-09,0.0017701149425287355,0.0011986352074781455,0.0023415946775793258,tested,3.388031118534945e-07,True
155921,4,xgboost,6,hybrid,43500,93,58,151,0.005482468785760624,0.0008045977011494253,0.00025096749267363827,0.0013582279096252124,tested,1.0,False
155921,4,xgboost,6,mlp,43500,80,636,716,2.334241975446182e-108,-0.0127816091954023,-0.013981280526680942,-0.011581937864123657,tested,1.2418167309373688e-105,True
155921,4,xgboost,6,rf,43500,106,61,167,0.0006186947801814266,0.0010344827586206897,0.00045228637549039235,0.001616679141750987,tested,0.1398250203210024,False
155921,4,xgboost,6,xgboost,43500,97,54,151,0.0005846387710440832,0.0009885057471264369,0.00043490184129951965,0.001542109652953354,tested,0.13739011119535957,False
155921,4,xgboost,8,hybrid,43500,106,69,175,0.0063378543307810765,0.0008505747126436781,0.0002545671419491428,0.0014465822833382134,tested,1.0,False
155921,4,xgboost,8,mlp,43500,95,154,249,0.00022311211696048454,-0.0013563218390804598,-0.002067210656180726,-0.0006454330219801938,tested,0.05443935653835823,False
155921,4,xgboost,8,rf,43500,111,59,170,8.152473202823985e-05,0.0011954022988505746,0.0006080254134034345,0.0017827791842977146,tested,0.021522529255455322,True
155921,4,xgboost,8,xgboost,43500,99,73,172,0.05630366806880822,0.0005977011494252873,6.797857250903086e-06,0.0011886044415996715,tested,1.0,False
155921,6,hybrid,6,mlp,43500,19,610,629,8.647360069010193e-154,-0.013586206896551723,-0.01470901957759917,-0.012463394215504277,tested,4.747400677886596e-151,True
155921,6,hybrid,6,rf,43500,29,19,48,0.19341265286193737,0.00022988505747126436,-8.227837323607762e-05,0.0005420484881786063,tested,1.0,False
155921,6,hybrid,6,xgboost,43500,14,6,20,0.11531829833984375,0.0001839080459770115,-1.758999564252525e-05,0.0003854060875965482,tested,1.0,False
155921,6,hybrid,8,hybrid,43500,25,23,48,0.8854334972865135,4.597701149425287e-05,-0.00026619359564512206,0.0003581476186336278,tested,1.0,False
155921,6,hybrid,8,mlp,43500,27,121,148,2.0804836938185115e-15,-0.002160919540229885,-0.002708697343413864,-0.0016131417370459059,tested,8.197105753644935e-13,True
155921,6,hybrid,8,rf,43500,37,20,57,0.03314396778750544,0.00039080459770114945,5.064406500900553e-05,0.0007309651303932934,tested,1.0,False
155921,6,hybrid,8,xgboost,43500,20,29,49,0.2528697301676033,-0.00020689655172413793,-0.0005222964829595422,0.0001085033795112663,tested,1.0,False
155921,6,mlp,6,rf,43500,639,38,677,8.214265170887687e-142,0.013816091954022988,0.012650929877844913,0.014981254030201063,tested,4.443917457450239e-139,True
155921,6,mlp,6,xgboost,43500,624,25,649,7.28458362108149e-151,0.013770114942528736,0.012629558740864476,0.014910671144192995,tested,3.9773826571104936e-148,True
