feature_set,model,metric,n_seeds,mean,sd,ci95_method,ci95_low_raw,ci95_high_raw,ci95_low,ci95_high,ci95_display_constrained_to_0_1,manuscript_value
6,hybrid,f1,10,0.986696730829801,0.0012549111421752686,"two-sided mean t interval, df=n-1",0.9857990214778443,0.9875944401817578,0.9857990214778443,0.9875944401817578,False,0.9867 ± 0.0013 (95% CI 0.9858–0.9876)
6,hybrid,roc_auc,10,0.9991456518025865,0.00045048952581176147,"two-sided mean t interval, df=n-1",0.9988233910092217,0.9994679125959514,0.9988233910092217,0.9994679125959514,False,0.9991 ± 0.0005 (95% CI 0.9988–0.9995)
6,hybrid,pr_auc_benign,10,0.9990531305567611,0.0005385190467117136,"two-sided mean t interval, df=n-1",0.9986678972376897,0.9994383638758326,0.9986678972376897,0.9994383638758326,False,0.9991 ± 0.0005 (95% CI 0.9987–0.9994)
6,hybrid,pr_auc_ddos,10,0.9991835471992199,0.0003272613123201299,"two-sided mean t interval, df=n-1",0.9989494385593889,0.9994176558390508,0.9989494385593889,0.9994176558390508,False,0.9992 ± 0.0003 (95% CI 0.9989–0.9994)
6,hybrid,balanced_accuracy,10,0.9865426988214502,0.0011985862392394837,"two-sided mean t interval, df=n-1",0.9856852818777876,0.9874001157651128,0.9856852818777876,0.9874001157651128,False,0.9865 ± 0.0012 (95% CI 0.9857–0.9874)
6,hybrid,mcc,10,0.9732599982725688,0.002495418639032295,"two-sided mean t interval, df=n-1",0.971474883315805,0.9750451132293326,0.971474883315805,0.9750451132293326,False,0.9733 ± 0.0025 (95% CI 0.9715–0.9750)
6,mlp,accuracy,10,0.9825605927340085,0.005747161913096973,"two-sided mean t interval, df=n-1",0.9784493207696414,0.9866718646983756,0.9784493207696414,0.9866718646983756,False,0.9826 ± 0.0057 (95% CI 0.9784–0.9867)
6,mlp,precision,10,0.9749539465399619,0.006925881491403167,"two-sided mean t interval, df=n-1",0.9699994693850298,0.9799084236948941,0.9699994693850298,0.9799084236948941,False,0.9750 ± 0.0069 (95% CI 0.9700–0.9799)
6,mlp,recall,10,0.990702833690991,0.010021307069802275,"two-sided mean t interval, df=n-1",0.9835340224715782,0.9978716449104038,0.9835340224715782,0.9978716449104038,False,0.9907 ± 0.0100 (95% CI 0.9835–0.9979)
6,mlp,f1,10,0.9827280512401215,0.005766936482902995,"two-sided mean t interval, df=n-1",0.9786026334006808,0.9868534690795623,0.9786026334006808,0.9868534690795623,False,0.9827 ± 0.0058 (95% CI 0.9786–0.9869)
6,mlp,roc_auc,10,0.996581109431645,0.004667865337508091,"two-sided mean t interval, df=n-1",0.993241919726235,0.999920299137055,0.993241919726235,0.999920299137055,False,0.9966 ± 0.0047 (95% CI 0.9932–0.9999)
6,mlp,pr_auc_benign,10,0.9943516301214916,0.009646894776014636,"two-sided mean t interval, df=n-1",0.9874506573221268,1.0012526029208566,0.9874506573221268,1.0,True,0.9944 ± 0.0096 (95% CI 0.9875–1.0000)
6,mlp,pr_auc_ddos,10,0.9971909487982138,0.0025886568005157435,"two-sided mean t interval, df=n-1",0.9953391352787312,0.9990427623176964,0.9953391352787312,0.9990427623176964,False,0.9972 ± 0.0026 (95% CI 0.9953–0.9990)
6,mlp,balanced_accuracy,10,0.9825273377873508,0.005757809743279117,"two-sided mean t interval, df=n-1",0.9784084488241291,0.9866462267505725,0.9784084488241291,0.9866462267505725,False,0.9825 ± 0.0058 (95% CI 0.9784–0.9866)
