feature_set,seed,model,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,roc_auc,pr_auc_benign,pr_auc_ddos
6,181081,xgboost,0.9858390804597701,0.9788930156717094,0.9931072511717673,0.9859489051094891,0.9858350682209007,0.9717804961269871,21272,466,150,21612,0.9992533077394135,0.9992313061959772,0.9992700302413875
6,181081,rf,0.9857931034482759,0.9800217944061025,0.9918206047238305,0.9858858996026127,0.9857897760945493,0.9716565093259578,21298,440,178,21584,0.9992320283036852,0.999224351488237,0.9992644973319472
6,181081,mlp,0.983103448275862,0.9734744426930871,0.9932910578071869,0.9832829167330043,0.9830978244229605,0.9664069879061288,21149,589,146,21616,0.9984772493713281,0.9978722593347362,0.9985591433523311
6,181081,hybrid,0.986,0.9793772379096225,0.9929234445363477,0.9861038220193953,0.985996178059875,0.9720928713062077,21283,455,154,21608,0.9991771888101789,0.9990961556408599,0.9992422371740818
8,181081,xgboost,0.985448275862069,0.9792243139033795,0.9919584597003952,0.9855502545255325,0.9854446820537122,0.9709785314850197,21280,458,175,21587,0.9992352551510143,0.9992068209140771,0.9992602230885697
8,181081,rf,0.9860459770114942,0.9804242176499978,0.9919125080415403,0.9861349048630622,0.986042738517964,0.9721585824332497,21307,431,176,21586,0.9991656945538063,0.9991360707428287,0.9992139054392887
8,181081,mlp,0.9801149425287357,0.9688579762171865,0.9921422663358147,0.9803618861670488,0.9801083031007438,0.9605070799395085,21044,694,171,21591,0.9980795914355105,0.9974014472076467,0.9982971008669426
8,181081,hybrid,0.9854252873563218,0.9793538433614666,0.9917746530649757,0.9855251141552511,0.9854217823241891,0.9709285390709995,21283,455,179,21583,0.9989455364738429,0.998846405207056,0.9990613790614058
4,206369,xgboost,0.9848505747126437,0.977637952107193,0.992417976288944,0.98497252183431,0.9848463972897475,0.9698118464873219,21244,494,165,21597,0.9991997630012226,0.9991958775123753,0.9991815294135331
4,206369,rf,0.9833333333333333,0.9761010274747658,0.9909475232055878,0.9834682476342492,0.9833291300819548,0.9667783377207344,21210,528,197,21565,0.9990689736893797,0.99905901942886,0.9990986333343533
4,206369,mlp,0.9221379310344827,0.9154795821462488,0.9302453818582851,0.9228034188034188,0.9221334554888996,0.8443843900226382,19869,1869,1518,20244,0.981134514537445,0.9810893970372954,0.9828496064756297
4,206369,hybrid,0.9848275862068966,0.9767736104835065,0.9932910578071869,0.9849630912239132,0.984822914127625,0.9697937043498711,21224,514,146,21616,0.9982542259185805,0.9982174190678075,0.9982893457602534
6,206369,xgboost,0.9858390804597701,0.9788930156717094,0.9931072511717673,0.9859489051094891,0.9858350682209007,0.9717804961269871,21272,466,150,21612,0.9992533077394135,0.9992313061959772,0.9992700302413875
6,206369,rf,0.9856551724137931,0.9798855793679623,0.9916827497472659,0.9857488695016672,0.9856518450180805,0.9713806253224557,21295,443,181,21581,0.9992309576203099,0.9992104666466846,0.999268876027517
6,206369,mlp,0.9840689655172414,0.975233455136013,0.9933829611248967,0.9842245441507887,0.9840638239243031,0.9683054824239667,21189,549,144,21618,0.9986850602418258,0.998063325631442,0.998839238525467
6,206369,hybrid,0.9859080459770115,0.9792431452526625,0.9928774928774928,0.986013188217309,0.985904198642261,0.9719101839459846,21280,458,155,21607,0.999124392387713,0.998996637391748,0.9992092576358705
8,206369,xgboost,0.985448275862069,0.9792243139033795,0.9919584597003952,0.9855502545255325,0.9854446820537122,0.9709785314850197,21280,458,175,21587,0.9992352551510143,0.9992068209140771,0.9992602230885697
8,206369,rf,0.9860689655172413,0.98046875,0.9919125080415403,0.9861574306729407,0.9860657397140262,0.9722040405109361,21308,430,176,21586,0.9992452939967178,0.9992220714004383,0.9992877553815194
8,206369,mlp,0.9827816091954023,0.9733297292426905,0.9927855895597831,0.9829613958461293,0.982776086711072,0.965756002812499,21146,592,157,21605,0.9985582968263068,0.9979992872238634,0.9986643323931843
8,206369,hybrid,0.9855862068965517,0.9795344193855788,0.9919125080415403,0.9856846046713396,0.9855827145967201,0.9712498414149431,21287,451,176,21586,0.9991605208172598,0.9990362298282424,0.9992217460287743
4,231701,xgboost,0.9848505747126437,0.977637952107193,0.992417976288944,0.98497252183431,0.9848463972897475,0.9698118464873219,21244,494,165,21597,0.9991997630012226,0.9991958775123753,0.9991815294135331
4,231701,rf,0.9834712643678161,0.976193708983933,0.9911313298410073,0.9836058097909114,0.983467035791789,0.9670555901928481,21212,526,193,21569,0.9988940961093933,0.9989007807753306,0.9989038285513857
4,231701,mlp,0.9302298850574713,0.928163153322054,0.9327267714364489,0.9304393665054663,0.9302285067045157,0.8604697615106716,20167,1571,1464,20298,0.9647190781758167,0.9342822578613231,0.975415921893177
4,231701,hybrid,0.9851494252873563,0.9768313612139825,0.9938884293723004,0.9852860787172012,0.985144601106244,0.9704466815191266,21225,513,133,21629,0.9984614840078292,0.9984662831255336,0.9984632383527903
6,231701,xgboost,0.9858390804597701,0.9788930156717094,0.9931072511717673,0.9859489051094891,0.9858350682209007,0.9717804961269871,21272,466,150,21612,0.9992533077394135,0.9992313061959772,0.9992700302413875
6,231701,rf,0.9856781609195402,0.9798864926220204,0.9917287014061208,0.9857720327951218,0.9856748208475079,0.97142714439256,21295,443,180,21582,0.99926637789797,0.9992520487862959,0.9993013668297005
